呵	;kk;kk;kk;dz;ks;kk;kh
鷱	;zn;zn;ng,nu;ox;th;;pp
鼛	;tk;uk;gj;hd;fk;;tk
𠰛	;ug;ek;ug;vc;md;;
𡋟	;tf;tx;tj;gb;fu;;
𡜲	;nk;nk;ng;bd;vt;;
𡷥	;nu;ne;ug,gu;qv;tf;;
𡼗	;uu;eu;ua;vu;mt;;
𢍎	;nc;nc;cg;ql;tf;;
𢞟	;xk;xk;xg;hg;ny;;
𣓌	;mk;mk;mj;ed;st;;
𣝏	;mk;mk;mh;eg;sa;;
𣽎	;du;du;dg;ku;it;;
𤱟	;ti;ti;ti;qm;lb;;
𥓖	;um;um;ug;me;dj;;
𥢐	;hu;hu;ha;xn;tt;;
𥢑	;hk;hk;hj;xd;td;;
𦍱	;yy;yd;yb,yd;gi;ud;;
𦏦	;yw;yw;yg;gh;ud;;
𦕺	;we;we;eb,we;gq;yp;;
𦤎	;zb;zb;zb;of;th;;
𦺆	;cu;cu;cg;lu;at;;
𧚡	;py;py;yw;tt;tm;;
𧜉	;wy;wy;yg,gy;gt;ym;;
𧠼	;nj;ne;jg,gj;qe;tf;;
𧢌	;zj;ze;jg;oe;th;;
𨝲	;ze;ze;be;ot;th;;
𩋺	;gk;gk;gg;td;af;;
𩏤	;wu;vu;wg;gu;nh;;
𩓢	;oy;ob;yg,gy;ow;js;;
𩔇	;by;bb;yh;uw;rg;;
𩕍	;zy;zb;yg;ow;th;;
𩝝	;uk;rk;ug;qg;wy;;
𩫓	;wb;wb;gs;gv;ym;;
𪔘	;tq;uq;gi;hr;fk;;
個	;rg;rk;rg;jc;wl;;rs
嘅	;kw;kv;kj;dd;kv;kj;kv
嗰	;kg;kk;kg;dc;kw;;
颌	;ry;rr;yh;jw;wg;rr;rh
箇	;vg;vk;vg;rc;tl;;lh
臵	;gk;ak;vg;ys;gc;;hp
彁	;gk;gk;gg;bz;xs;;vh
纥	;sv;sq;sq;ia;xt;sy;ip
閤	;mk;mk;mh;ad;uw;;vk
閣	;mk;mk;mg;as;ut;;vk
愅	;xg;xg;xg;ht;na;;xc
鎶	;jk;jk;jg;zz;qs;;jh
槅	;mg;ml;mg;en;sg;;mh
搿	;uu;uu;hu,uu;uu;rw;pu;pr
挌	;fk;fk;fg;us;rt;;fp
亇	;dl;dl;da,ra;xg;qh;;ps
鞷	;gg;ag;gg;nt;gk;;hs
戓	;gk;gk;gk;pd;ak;;hd
獦	;qr;qv;qg;mf;qt;;pc
鎘	;jg;jl;jg;zn;qg;;jh
匌	;bk;bk;gh;nd;qw;;pk
輵	;ir;iv;ih;yf;lj;;hg
轕	;ir;iv;ig;yf;la;;hc
鉻	;jk;jk;jg;zs;qt;;jp
肐	;ov;oq;oq;va;et;;yp
佮	;rk;rk;rh;jd;ww;;rr
犵	;qv;qq;qq;ma;qt;;pp
猲	;qr;qv;qh;mf;qt;;pg
紇	;sv;yq;sq;ia;xt;;ip
臈	;or;ov;og;vf;ea;;yc
蛒	;ik;ik;ig;cs;jt;;op
觡	;dk;dk;jg;xs;qe;;pp
鞈	;gk;gk;gh;td;af;;cr
佫	;rk;rk;rg;js;wt;;rp
扢	;fv;fq;fq;ua;rt;;fp
滒	;dk;dk;dg;kz;is;;uh
鎑	;jm;jm;jh,jm;za;qf;;jt
鴿	;rn;rn;nh;jx;wg;;rp
㗆	;kg;kg;kg;dt;ka;;
㝓	;bk;bk;bh;wd;pw;;
㠷	;jj;jj;jj;rc;mh;;
㦴	;gk;gk;gg;ps;at;;
㨰	;fg;fy;fg;uk;ru;;
㪾	;wj;wj;jg;st;tk;;
㭘	;mk;mk;mh;ed;sw;;
㵧	;dr;dv;dg;kf;ia;;
㷴	;ih;ih;hl;xc;dt;;
䆟	;bk;bk;xh;ed;pw;;
䈓	;vr;vv;vh;rf;tj;;
䐙	;og;og;og;vt;ea;;
䕻	;cl;cb;cl;lx;ag;;
䗘	;im;im;ig;ca;jf;;
䘁	;gi;ui;ij;nc;fa;;
䛋	;yw;ww;yw;sn;yd;;
䛿	;yg;wl;yg;sn;yg;;
䢔	;zk;zk;zh;ju;wg;;
䧄	;ek;ek;eg;ts;bt;;
䨣	;yg;yg;yg;tt;fa;;
䩐	;gv;gq;gq;ta;af;;
䪂	;gu;gn;gj;tm;af;;
䪺	;qy;tb;yq;gw;fc;;
䫦	;qy;tb;yg;gw;fc;;
吤	;kj;kl;kj;dp;kw;;kr
呄	;ng;nk;ng;vc;ed;;vk
戨	;kg;kg;gg;zp;sk;;hh
擱	;fk;fk;fg;us;ru;;fv
櫊	;mk;mk;mg;es;su;;mv
牫	;ng;ng;ng;qp;tr;;ph
茖	;ck;ck;cg;ls;at;;ck
裓	;pc;pc;yj;tl;pu;;dh
諽	;yg;wg;yg;st;ya;;ac
謌	;yk;wk;yg;sz;ys;;ah
韐	;wk;vk;wh;gd;nh;;vr
韚	;wg;vg;wg;gt;nh;;vc
騔	;mr;mv;mh;nf;cj;;hg
鮥	;yk;ak;yg;ws;qo;;pp
鮯	;yk;ak;yh;wd;qo;;pr
鲄	;yk;ak;yk;wz;qg;;ps
鴚	;nk;nk;nk;xz;wv;;ph
𠛊	;ud;ud;ud;bp;qa;;
𠯫	;kg;kg;kg;dp;ka;;
𠲱	;fk;fk;fg;as;dh;;
𠸲	;ak;ak;kb,yj;fd;gc;;
𠹓	;kf;kf;kf;da;ky;;
𠺝	;kk;kk;kg;ds;ks;;
𡟍	;ng;ng;ng;bt;va;;
𢄍	;jm;jm;jg;ra;mh;;
𢆜	;og;og;gh,hg;oe;jq;;
𢎄	;ky;dy;yk,gk,ky;zp;sk;;
𢓜	;rk;ik;xg;ws;tt;;
𢡍	;xg;xl;xg,xx;hn;ng;;
𢧧	;uc;uc;uj;xl;gk;;
𢩓	;hg;pg;hx;mg;yn;;
𢯹	;fg;fg;fg;ut;ra;;
𣭝	;mk;mk;mh;vd;tf;;
𤇞	;lh;lh;hj,jh;sc;lk;;
𤕒	;fk;xk;fk;hz;wq;;
𤜊	;nk;nk;ny;qs;tr;;
𤠇	;qg;qg;qg;mt;qt;;
𤩲	;wr;wv;wg;nf;ga;;
𤭻	;kw;dw;wg,gw;zr;sk;;
𤰙	;jt;jt;jt,tj;kq;vl;;
𥉅	;og;ol;og;qn;hg;;
𥢸	;hr;hv;hg;xf;ta;;
𥰮	;vk;vk;vg;rz;tl;;
𥴩	;vg;vl;vg;rn;tb;;
𥺊	;mk;mk;mg;pd;ot;;
𦑜	;gx;gx;yg,gy;tz;af;;
𦓱	;lk;fk;lg;as;di;;
𦨜	;vg;vg;vg;ip;te;;
𧈌	;ij;aj;hj,uh;nz;gm;;
𧈑	;hu;hy;hj;zr;ha;;
𧈖	;ij;ij;jh,ih,hj;yz;lb;;
𧎺	;ik;ik;ig;cz;js;;
𧗶	;rx;ii;xi;pn;tu;;
𧪞	;ym;wm;yg,yh;sa;yf;;
𧿩	;zj;zl;zj;pp;kh;;
𨍮	;ig;il;ig,ix;yn;lg;;
𨏚	;ig;ig;ig;yt;lw;;
𨏴	;ie;ie;in;yq;lb;;
𨐥	;xg;lg;xg;nt;ua;;
𨝆	;ke;de;ge;zt;sk;;
𨞛	;ce;ce;ge;lt;aj;;
𨟶	;gy;gy;yg,gy;py;as;;
𨭛	;jr;jv;jg;zf;qa;;
𨼥	;ey;ey;ez;tr;bj;;
𨾓	;gv;gf;vg;pu;aw;;
𩎎	;gu;gn;gz;tm;af;;
𩢅	;mg;mg;mg;np;ca;;
𩢛	;mx;mv;mg,mw,mr;na;cq;;
𩨘	;gv;gq;gq;fa;me;;
𩹺	;yg;al;yg;wn;qo;;
𩹿	;yk;ak;yg;ws;qo;;
𩼙	;yr;av;yg;wf;qo;;
𩾷	;gn;gn;ng,gn;px;aw;;
𪀁	;nk;nk;nj;xd;wv;;
𪀉	;kn;dn;nk;zx;sk;;
𪃿	;kn;dn;ng,gn;zx;sk;;
𪄎	;mn;mn;ng,gn;ex;st;;
𪌣	;lk;lk;mg;es;sw;;
給	;sk;yk;sh;id;xw;;ir
揯	;fh;fa;fh;uf;rn;;fx
㫔	;ou;ou;ou;of;jh;;
㮓	;mh;ma;mh;ef;sn;;
䫀	;gy;gb;sy,gy;iw;vc;;
亙	;aa;aa;aa;ff;gh,gq;;hh
搄	;fd;fa;fh;uf;rn;;fx
𠄣	;ah;aa;gp;ff;gq;;
𠛵	;gd;gd;gd;ip;ve;;
𥃩	;ob;ob;ob;qv;hx;;
𨒼	;pg;pg;zg;ui;eh;;
𩑡	;qy;pb;yq;vw;rn;;
𩒝	;oy;ob;yy,yb,oy;ow;jx;;
𩓓	;oy;ob;gy;qw;hx;;
畊	;tj;tj;tj;qq;lf;tj;sh
羮	;yf;yn;gf;gh;ug;;dd
峺	;ug;eg;ug;vb;mg;;sh
縆	;sd;ya;sh;if;xn;;ix
骾	;gg;gg;gg;fb;me;;sh
堩	;td;ta;th;gf;fn;;tx
挭	;fg;fg;fg;ub;rg;;fh
絙	;sd;ya;sg;if;xg;;ih
鶊	;gn;gn;ng;xx;yv;;dp
焿	;hr;hn;hg;cj;oy;;qd
賡	;gb;gb;bg;xo;yv;;dd
鯁	;yg;ag;yg;wb;qo;;ph
㹴	;qg;qg;qg;mb;qt;;
㹹	;qr;qn;qg;mj;qt;;
㾘	;bg;bn;bg;ab;ug;;
䋁	;sj;yj;sk;io;xy;;
䌄	;sy;yy;sg;ih;xg;;
䱍	;yh;aa;yg;wf;qo;;
䱎	;yd;aa;yg;wf;qo;;
䱭	;yh;aa;yh;wf;qo;;
䱴	;yd;aa;yh;wf;qo;;
刯	;ad;ad;dg;fp;gj;;hs
掶	;fr;fn;fg;uj;ry;;fd
椩	;mr;mn;mg;ej;sy;;md
絚	;sh;ya;sa,sg;if;xg;;ih
綆	;sg;yg;sg;ib;xg;;ih
緪	;sh;ya;sh;if;xn;;ix
莄	;cg;cg;cg;lb;ag;;cd
菮	;cr;cn;cg;lj;ay;;cd
郠	;ge;ge;eg;ft;gj;;hv
𠡣	;gl;gl;lg;fs;gj;;
𡍷	;td;ta;th;gf;fn;;
𡩃	;bh;ba;bh;wf;pn;;
𢙾	;xg;xg;xg;hb;ng;;
𢞚	;ex;ex;xg,gx;qh;bo;;
𣆳	;og;og;og;ob;jg;;
𣎄	;oh;oa;oh;vf;en;;
𥅨	;od;oa;og;qf;hg;;
𥉔	;eo;eo;og,go;qq;bo;;
𥔂	;uh;ua;uh;mf;dn;;
𦚸	;od;oa;og;vf;eg;;
𦛟	;og;og;og;vb;eg;;
𦜷	;oo;oo;oo;vo;en;;
𦞌	;od;oa;oh;vf;en;;
𦣍	;od;od;og;vm;eu;;
𦵸	;ch;ch;cg;lc;ab;;
𧀙	;ch;ch;cx;lc;ab;;
𧋑	;ig;ig;ig;cb;jg;;
𧙸	;ph;pa;yg;tf;pu;;
𧰨	;pn;pn;pd;js;et;;
𨁈	;zg;zg;zg;pb;kh;;
𩂼	;yg;yg;yg;tb;fg;;
𩜣	;uw;rn;uw;qh;wy;;
𩱁	;yg;yl;gc,gr;gn;ug;;
𩱋	;yg;yl;gg;gn;ug;;
𩱧	;gh;gl;gg;bn;xu;;
红	;sg;sg;sg;iu;xa;sg;ih
栱	;mg;mb;mg;eh;sa;;mc
紅	;sg;yg;sg;iu;xa;;ih
宮	;bk;bk;bl;wd;pk;;bk
廾	;al;al;aa,ck;lc;ag,zz;;cb
貢	;gb;gb;bg,gb;uo;am;;hd
厷	;us;us;us;nk;dc;;hd
熕	;hb;hb;hg;co;oa;;qh
龏	;lc;lc;lc;tl;ue;;dc
糿	;sd;yd;sd;ip;xv;;iv
澒	;dy;db;dx;kw;ia;;uh
龔	;lg;lb;lg;th;ue;;dd
唝	;kb;kr;kg;do;ka;kr;kh
塨	;tx;tx;tg;gh;fa;;tc
羾	;xg;xg;yg;zu;na;;vh
輁	;ig;ib;ig;yh;la;;hc
鞏	;gg;gg;gg;ut;am;;hs
嗊	;kb;kb;kg;do;ka;;kh
躳	;uk;uk;ul;zd;tm;;pk
銾	;ju;ju;jg;zk;qa;;jh
㓋	;dg;db;dg;wh;ua;;
㔶	;kb;kb;kg;no;au;;
㤨	;xg;xb;xg;hh;na;;
㧬	;gu;gu;ug;uu;am;;
㫒	;oc;oc;oc;ol;ja;;
㭟	;gm;cm;mg;le;aw;;
㯯	;mb;mb;mb,mg;eo;st;;
㺬	;wf;wf;wf;ni;gm;;
㼦	;gw;gw;wg;ur;am;;
䂬	;gu;gu;ug;um;am;;
䇨	;vf;vl;vf;rv;tt;;
䡗	;gi;gi;ig;uy;am;;
䢚	;zg;zg;zg;fu;gj;;
䳍	;gn;cn;ng;lx;aw;;
侊	;rg;rw;rg;jm;wi;;rs
匑	;bg;bg;gg;nb;qt;;pv
匔	;bk;bk;gg,gl;nd;qt;;pk
幊	;jb;jb;jg;ro;mh;;sh
愩	;xb;xb;xg;ho;na;;xh
慐	;gx;gx;xg;uh;am;;hx
拲	;gu;cu;ug;lu;aw;;cf
杛	;mg;mg;mg;eb;sx;;mv
碽	;ub;ub;ug;mo;da;;hh
糼	;sl;yl;sl;is;xl;;iv
觵	;db;db;jh;xn;qe;;pc
髸	;eg;ab;ig;ph;de;;hd
𠇒	;rr;rr;rr;jj;wt;;
𠌕	;jj;rl;jj,rj;jp;wj;;
𠞖	;gd;gd;gd;up;am;;
𡔕	;lt;lt;tg,vt;xg;uj;;
𡚑	;tz;tz;td;fu;gd;;
𡟫	;nb;nb;ng;bo;va;;
𢀜	;gf;gp;gj,ge;uu;an;;
𢁠	;jg;jg;jg;rb;mh;;
𢖷	;xg;xg;xg;hu;na;;
𢸁	;ju;pu;ux,xu;pu;wf;;
𤅐	;db;da;yq,dq;kz;im;;
𤨶	;wu;wu;wu;nk;ga;;
𤬳	;gw;gw;wg;ur;am;;
𤱨	;tg;tb;tg;qh;la;;
𥧂	;bd;bd;xd;ep;pw;;
𥧡	;bb;bb;xg;eo;pw;;
𥨐	;bd;bd;xg,xd;ep;pw;;
𥫋	;il;il;il,ll;si;bm;;
𥸲	;mg;mg;mg;pb;ox;;
𦄜	;su;yx;su;if;xd;;
𦈩	;gf;gf;fg;ua;am;;
𦊫	;sg;sw;sg;ym;li;;
𦏺	;gx;gx;yg;uz;an;;
𦓳	;lg;lb;lg;ah;di;;
𦔸	;eg;eg;eg;qu;ba;;
𦞗	;os;os;og,os;vk;el;;
𦞨	;ok;ok;og;vd;ep;;
𦦧	;jl;pl;pa;pg;wf;;
𦩼	;vb;vb;vg;io;te;;
𦬘	;cg;cs;cg;lk;aw;;
𦵡	;ck;ck;cg;ld;ap;;
𧆷	;hg;hs;hg;zk;ha;;
𧎡	;ik;ik;ig;cd;jp;;
𧘏	;pg;pg;yg;tb;pu;;
𨉫	;uk;uk;ul;zd;tm;;
𨊧	;ig;ig;ig;yu;la;;
𨋑	;gi;gi;ig;uy;am;;
𨋝	;il;il;ig;ys;la;;
𨋷	;ig;ig;ig;yu;la;;
𨒱	;zg;zb;zg;lu;aw;;
𨣂	;yi;yi;yc,yi;yc;sg;;
𨥑	;jc;ja;jg;zl;qg;;
𨨭	;jy;jy;ju;zr;qa;;
𨴛	;ml;mb;ml;aq;uf;;
𩃙	;yd;yd;ld;tm;fl;;
𩌌	;gb;gb;gg;to;af;;
𩐣	;lg;lw;yg;xm;uj;;
𩛘	;ug;rb;ug;qh;wy;;
𪄌	;gn;gn;ng,gn;ux;am;;
𪏠	;cu;cu,nu;hu;nk;am;;
𪏢	;cl;cn,nn;hk;nk;am;;
拘	;fj;fk;fj;ug;rq;fk;fp
夠	;xj;xk;dj,xj;lg;qq;;pp
構	;mr;mr,mz;mg,mr;eg;sf;;mh
鉤	;jj;jk;jj;zg;qq;;jp
購	;br;or,oz;bg,br;og;mf;;sh
呴	;kj;kk;kj;dg;kq;;kp
鈎	;jg;js;jg;zk;qq;;jp
冓	;fr;ar,az;aa,jr;qg;fj;;ht
溝	;dr;dr,dz;dg,dr;kg;if;;uh
覯	;fj;ae;jg,jr;qe;fj;;hs
芶	;cg;cs;cg;lk;aq;cv;cd
糓	;tu;uy;mu,um;gr;fp;;tp
訽	;yj;wk;yj;sg;yq;;ap
袧	;pj;pk;yj;tg;pu;;dp
傋	;rr;rr,rz;rg,rr;jg;wf;;rh
啂	;kv;kv;kr;da;ke;;kp
搆	;fr;fr,fz;fg,fr;ug;rf;;fh
蚼	;ij;ik;ij;cg;jq;;op
詬	;yk;wk;yh;sd;yr;;ap
韝	;wr;vr,vz;wg,wr;gg;nh;;vh
煹	;hr;hr,hz;hg,hr;cg;of;;qh
褠	;pr;pr,pz;yg;tg;pu;;dh
㗕	;kr;kr,kz;kg;dg;kf;;
㜌	;tn;uy;un;gr;fp;;
㝅	;tz;uy;zu,tu;gr;fp;;
㝤	;br;br,bz;bg;wg;pf;;
㨌	;tu;uy;uu;gr;fp;;
㳶	;dv;dv;dr;ka;ie;;
㺃	;qj;qk;qg;mg;qt;;
㽛	;tj;tk;tj;qg;lq;;
䃓	;ur;ur,uz;ug;mg;df;;
䑦	;vj;vk;vj;ig;te;;
䝭	;bj;ok;bj;og;mq;;
䞀	;bu;ou;bh;oo;mw;;
坸	;tj;tk;tj;gg;fq;;tp
撀	;tu;uu;uq,uu;gu;fn;;tf
玽	;wj;wk;wj;ng;gq;wk;wp
痀	;bj;bk;bj;ag;uq;;dk
簼	;vr;vz;vg,vr;rg;tr;;lt
緱	;su;yu;sh;io;xw;;ir
耈	;lj;lk;lj;qg;ft;;tk
耉	;lk;lk;lk;qg;ft;;tk
豿	;vj;vk;vj;mg;ee;;pp
𠛎	;jd;bd;jd;gp;qk;;
𡖑	;xu;xu;du;li;qq;;
𡗁	;xu;xu;dh;lo;qq;;
𢄇	;bg;bs;bg;uk;rm;;
𣕉	;mj;mk;mg;eg;sa;;
𣕌	;mw;mw;mk,mw;eh;sq;;
𣙱	;mj;mk;mg;eg;st;;
𣫌	;tz;uy;uu;gr;fp;;
𤖮	;pg;ps;pg;ak;th;;
𤚼	;tn;un;nu,tn;gq;fp;;
𤠼	;tq;uq;qk,uq,qu;gm;fp;;
𤫱	;jg;bg;gj,jg;gy;qk;;
𥉇	;or;or,oz;og,or;qg;hf;;
𥧒	;br;br,bz;xg,xr;eg;pw;;
𥬉	;vg;vs;vg;rk;tq;;
𥴴	;vj;vk;vg;rg;tq;;
𥿺	;sn;yn;sw;ib;xy;;
𦎯	;ty;uy;yu,ty;gr;fp;;
𦎼	;ty;uy;yk;gg;fp;;
𦩷	;vr;vr,vz;vg;ig;te;;
𦱣	;cm;cm;cm,mm;la;ay;;
𦵷	;cr;cr,cz;cg,cr;lg;af;;
𦽋	;cj;ck;cg;lg;aq;;
𧃛	;cr;cz;cg;lg;am;;
𧲿	;vk;vk;vh;md;ee;;
𧵈	;bg;os;bg;ok;mq;;
𨩦	;jj;jk;jg;zg;qa;;
𩄢	;yr;yr,yz;yg,yr;tg;ff;;
𪀊	;nj;nk;nj;xg;wv;;
𪃺	;fn;an;ng,cn,nr;qx;fj;;
𪚭	;gg;ds;gg;wk;tm;;
穀	;tu;uy;hu,uh;gr;fp;;tp
顧	;hy;hb;yg;mw;yn;;dh
詁	;yg;wk;yg;sc;yd;;ah
鈷	;jg;jk;jg;zc;qd;;jh
鼔	;ty;uy;pa,pd,uy;hh;fk;;ts
唃	;ky;ky;kj;dt;kq;;kp
盬	;im;im;mk;qa;ah;;hh
巭	;gf;gf;fg,gf;uh;al;gf;hd
淈	;di;di;dq;km;in;;uv
夃	;ny;ny;ny;vr;ec;;vd
賈	;xb;xb;bx,xb;vo;sm;;hd
罛	;sg;sg;sg;yy;lr;;sd
皷	;tp;uy;pa,pv;hr;fk;;tv
苽	;cg;cg;cg;ly;ar;;cd
蠱	;im;im;mi,im;ca;jj;;oh
錮	;jg;jk;jg;zc;ql;;jk
僱	;rv;rf;rg;ju;wy;;rd
軱	;ig;ig;ig;yy;lr;;hp
凅	;dg;dk;dg;wc;ul;;dk
稒	;hg;hk;hg;xc;tl;;ek
箛	;vg;vg;vg;ry;tb;;ld
傦	;ro;rg;rg;jf;wm;;rs
棝	;mg;mk;mg;ec;sl;;mk
櫎	;mb;mb;mg;en;sy;;md
泒	;dg;dg;dg;ky;ir;;up
濲	;du;dy;dg,du;kr;if;;ut
轂	;tu;uy;iu,ui;gr;fp;;tp
鈲	;jg;jg;jg;zy;qr;;jp
鮕	;yg;ak;yg;wc;qo;;ph
鯝	;yg;ak;yg;wc;qo;;ps
㒴	;ri;ri;ri;jm;ty;;
㚉	;nx;nx;nd;vl;eq;;
㧽	;fg;fk;fg;uc;rl;;
㯏	;tm;um;mk;ge;fn;;
㼋	;gg;ug;gg;cy;dr;;
㽽	;bg;bk;bg;ac;ud;;
㾶	;bo;bg;bg;af;um;;
䀇	;gm;um;mf;ca;dr;;
䀜	;wo;wo;ow;nq;qr;;
䀦	;og;ok;og;qc;hd;;
䀰	;og;ok;og;qh;hw;;
䅽	;th;uh;hk;gx;fn;;
䊺	;sh;yh;sh;ib;xg;;
䍍	;tf;uy;uf;gr;fp;;
䍛	;sg;sk;sg;yc;ll;;
䐨	;to;uy;uo;gr;fp;;
䓢	;cg;ck;cg;lc;al;;
䜼	;mb;sa;dw;iz;cb;;
䡩	;ib;ib;iv;yh;lf;;
䮩	;mo;mg;mg;nf;cm;;
䵻	;px;oe;dh;qb;hn;;
䶜	;vk;vk;ig;ld;hb;;
唂	;kg;kk;kg;dh;kw;;kp
啒	;ki;ki;kq;dm;kn;;kv
嗗	;ko;kg,ko;kg;df;km;;ks
嫴	;nx;nu;ng;bn;vd;;nh
尳	;yo;yg;yg;of;dn;;ph
崓	;ug;ek;ug;vc;ml;;sk
巬	;gf;gf;fj;uh;am;;hd
怘	;gx;ux;gx,xg;ch;dn;;hx
愲	;xo;xo;xg;hf;nm;;xs
抇	;fo;fo;fo;uo;rj;;fr
柧	;mg;mg;mg;ey;sr;;mp
榾	;mo;mg;mg;ef;sm;;ms
橭	;mx;mu;mg;en;sd;;mh
皼	;tp;uy;py;gr;fp;;
磆	;uo;ug;ug;mf;dm;;hs
祻	;pg;pk;ug;fc;py;;dk
笟	;vg;vg;vg;ry;tr;;ld
篐	;vj;vj;vz;rr;ts;;lv
縎	;so;yg;sg;if;xm;;is
脵	;ot;ot;ow;vm;ek;;yk
薣	;cv;cy;cg;lc;af;;cd
軲	;ig;ik;ig;yc;ld;;hh
逧	;zg;zk;zg;hu;ww;;pl
餶	;uo;rg;ug;qf;wp,wy;;rs
鴣	;gn;un;ng;cx;dw;;hp
鶻	;gn;gn;ng;fx;me;;sp
𠑹	;ke;ek;;pn;aq;;
𠷞	;lg;lk;lg;bc;qy;;
𠻧	;kk;kk;kg;dd;ks;;
𠽿	;kx;ku;kg;dn;kd;;
𡗷	;dg;dg;dg;my;dr;;
𡷓	;uc;ec;ug,uc;vl;md;;
𡽂	;uv;ey;ug;vc;mf;;
𢝳	;dx;dx;xh,hx;kh;ia;;
𢡇	;xx;xu;xg;hn;nd;;
𢪏	;fo;fo;fo;uo;rj;;
𣀐	;zw;zw;wz,zw;oh;th;;
𣖫	;tm;um;mh;ge;fm;;
𣦩	;vp;vy;vg,vp;sr;hf;;
𣦭	;vu;ve;su;sv;hd;;
𣨍	;dy;dy,dt;dj;gt;gq;;
𣨺	;do;dg;dg;gf;gq;;
𣪸	;tk;uy;uu;gr;fp;;
𣫀	;tk;uy;uu,ku,tu;gr;fp;;
𣱫	;qt;qt;qf,qt;vq;rn;;
𣲖	;dv;dg,dn;;ky;ir;;
𤅱	;dm;dm;dg;ka;ij;;
𤚱	;no;ng;ng;qf;tr;;
𥂰	;ym;ym;gm,mg;ya;sg;;
𥐬	;uq;uv;uq;mv;dr;;
𥠳	;ho;hg;hg;xf;tm;;
𥮝	;vi;vi;vq;rm;tn;;
𥵠	;vu;vy;vu;rr;tf;;
𥿍	;sg;yk;sg;ic;xd;;
𦈲	;fr;fr;fh;ak;rm;;
𦊬	;ky;ky;wy;mt;mq;;
𦋆	;sg;sg;sg;yy;lb;;
𦎰	;yo;yg;yg;gf;ud;;
𦺠	;cg;cg;cg;ly;aq;;
𦾫	;cu;cy;cu;lr;af;;
𧆻	;hg;hk;hg;zc;ha;;
𧇡	;hg;hk;ig;zc;ha;;
𧟣	;xj;aj;yj;vo;gm;;
𧣡	;xy;xy,xt;jd,dj;lt;qq;;
𧬕	;yx;wu;yg;sn;yd;;
𧳸	;vo;vg;vg;mf;ee;;
𧵎	;gb;ub;bg,gb;co;dm;;
𨠋	;yg;yg;yg;yy;sg;;
𨪷	;jo;jg;jg;zf;qm;;
𨬕	;jg;jg;jx;zg;qd;;
𨵐	;mu;my;mg;ar;ue;;
𨸯	;eg;eg;eg;ty;br;;
𩀠	;tv;uf;tv,vu;gu;fp;;
𩙏	;tf;ui;fy,jf;hc;fk;;
𩲱	;gg;gk;gg;ac;rq;;
𩴡	;gv;gf;gg;au;rq;;
𪄮	;yn;yn;ny,yn;tx;ff;;
𪇗	;tn;un;ng,nu,tn;gx;fp;;
𪕷	;tv;uv;uu,tu;gp;fp;;
括	;fu;fk;fu;ua;rt;fk;fp
冎	;kk;kk;kk;fg;mn;;sv
掛	;fb;fb;fg;uy;rf;;ft
袿	;pt;pt;yg;tg;pu;;dt
咼	;gk;lk;kk;fd;mn;;sk
騧	;mk;mk;mg,mk;nd;cm;;hs
铦	;ju;jk;ju;za;qt;;jp
呙	;kn;kn;kn;dj;km;kn;kd
銛	;ju;jk;ju;za;qt;;jp
罣	;st;st;sg;yg;lf;;st
罫	;sb;sb;sg;yy;lf;;sd
叧	;kd;kd;kd;dp;kv;;kp
聒	;eu;ek;eu;qa;bt;ek;hp
颳	;fu;jk;fu;oa;mt;;pk
絓	;st;yt;sg;ig;xf;;it
緺	;sk;yk;sg,sk;id;xm;;is
煱	;hk;hk;hg,hk;cd;om;;qs
剮	;gd;ld;dg,dk;fp;mn;;ss
啩	;kb;kb;kg;dy;kf;kb;kt
諣	;yk;wk;yg,yk;sd;ym;;as
坬	;tg;tg;tg;gy;fr;tg;tp
銽	;jk;jk;jk;zd;qq;;jp
㒷	;kb;kb;kb;mh;mw;;
䈑	;vk;vk;vg;rd;tm;;
䒷	;cu;ck;cu;la;at;;
䯏	;gu;gk;gu;fa;me;;
劀	;md;sd;dk,dy;ip;cb;;vs
桰	;mk;mk;mk;ed;sq;;mp
歄	;gq;kr;qg,qk;fe;mn;;sp
詿	;yt;wt;yg;sg;yf;;at
趏	;tu;tk;zu;pa;fh;;tk
踻	;zk;zk;zg,zk;pd;kh;;zs
颪	;xf;xi;fx,xf;fc;gh;;ho
鴰	;un;qn;nu;ax;td;;pp
𠆣	;ar;ar;ra;fj;gw;;
𠈥	;rg;rk;rg;jf;wm;;
𠊰	;rk;rk;rg;jd;wm;;
𠙼	;kk;kk;kk;dm;kb;;
𠛒	;gd;gd;gd;yp;rc;;
𠜵	;fg;fg;qg,fg,dg;aj;dh;;
𠟗	;cd;cd;cd;lp;ap;;
𠯑	;uk;uk;ku,uk;bd;qa;;
𠵯	;kd;kd;kg;dp;kt;;
𡜁	;ng;ng;ng;by;vr;;
𣅻	;ok;ok;oh,ok;od;jm;;
𤆜	;hs;hs;hs;ct;od;;
𥄼	;og;og;og;qy;hr;;
𥈓	;ok;ok;og;qd;hm;;
𥝒	;hb;hb;hb;xy;th;;
𧤐	;dk;dk;jg;xd;qe;;
𧿼	;zg;zg;zg;py;kh;;
𨵃	;me;md,mv;mm;ap;uq;;
𩢍	;mg;mg;mg;ny;cr;;
𩻎	;yr;ar;yq;wj;qo;;
𪇜	;cn;cn;nx,nh,cn;lx;ap;;
恠	;xt;xt;xz;hg;nd;;xh
柺	;ml;ml;ml;es;sk;;mk
